"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 27 15:19:28 CDT 2024","Wed Mar 27 15:19:33 CDT 2024","4554","chromium","intro/POM/FormTestDDT.spec.js","Form submission with Multiple Data Sets","","","Submit form with Jenny Kenny",""
"passed","Wed Mar 27 15:21:01 CDT 2024","Wed Mar 27 15:21:07 CDT 2024","5382","webkit","intro/optimized-locator-methods.spec.js","","","","Locator Practice with Error Handling and Optimization",""
"passed","Wed Mar 27 15:19:28 CDT 2024","Wed Mar 27 15:19:35 CDT 2024","6768","firefox","intro/POM/FormTestDDT.spec.js","Form submission with Multiple Data Sets","","","Submit form with Jenny Kenny",""
"passed","Wed Mar 27 15:20:58 CDT 2024","Wed Mar 27 15:21:05 CDT 2024","7080","webkit","intro/locator-methods.spec.js","","","","Locator Practice",""
"passed","Wed Mar 27 15:20:41 CDT 2024","Wed Mar 27 15:20:47 CDT 2024","5312","chromium","intro/locator-methods.spec.js","","","","Locator Practice",""
"passed","Wed Mar 27 15:19:28 CDT 2024","Wed Mar 27 15:19:35 CDT 2024","6892","firefox","intro/POM/FormTestDDT.spec.js","Form submission with Multiple Data Sets","","","Submit form with Lenny Denny",""
"passed","Wed Mar 27 15:19:28 CDT 2024","Wed Mar 27 15:19:32 CDT 2024","4523","chromium","intro/POM/FormTestDDT.spec.js","Form submission with Multiple Data Sets","","","Submit form with Lenny Denny",""
"passed","Wed Mar 27 15:20:47 CDT 2024","Wed Mar 27 15:21:00 CDT 2024","12912","firefox","intro/optimized-locator-methods.spec.js","","","","Locator Practice with Error Handling and Optimization",""
"passed","Wed Mar 27 15:20:47 CDT 2024","Wed Mar 27 15:20:54 CDT 2024","7095","firefox","keyboard_press/select-options.spec.js","","","","Find ShadowDom",""
"passed","Wed Mar 27 15:20:41 CDT 2024","Wed Mar 27 15:20:46 CDT 2024","5090","chromium","keyboard_press/select-options.spec.js","","","","Find ShadowDom",""
"passed","Wed Mar 27 15:20:59 CDT 2024","Wed Mar 27 15:21:04 CDT 2024","4342","webkit","intro/Modular-loc-methods/test.spec.js","","","","Locator Practice with Error Handling and Abstracted Locators",""
"passed","Wed Mar 27 15:19:28 CDT 2024","Wed Mar 27 15:19:35 CDT 2024","6770","firefox","intro/POM/FormTestDDT.spec.js","Form submission with Multiple Data Sets","","","Submit form with Fenny Benny",""
"passed","Wed Mar 27 15:21:01 CDT 2024","Wed Mar 27 15:21:06 CDT 2024","4670","webkit","keyboard_press/select-options.spec.js","","","","Find ShadowDom",""
"passed","Wed Mar 27 15:20:41 CDT 2024","Wed Mar 27 15:20:46 CDT 2024","5141","chromium","intro/optimized-locator-methods.spec.js","","","","Locator Practice with Error Handling and Optimization",""
"passed","Wed Mar 27 15:20:47 CDT 2024","Wed Mar 27 15:20:57 CDT 2024","9947","firefox","intro/Modular-loc-methods/test.spec.js","","","","Locator Practice with Error Handling and Abstracted Locators",""
"passed","Wed Mar 27 15:20:41 CDT 2024","Wed Mar 27 15:20:47 CDT 2024","5258","chromium","intro/Modular-loc-methods/test.spec.js","","","","Locator Practice with Error Handling and Abstracted Locators",""
"passed","Wed Mar 27 15:20:47 CDT 2024","Wed Mar 27 15:21:00 CDT 2024","13004","firefox","intro/locator-methods.spec.js","","","","Locator Practice",""
"passed","Wed Mar 27 15:19:28 CDT 2024","Wed Mar 27 15:19:33 CDT 2024","4552","chromium","intro/POM/FormTestDDT.spec.js","Form submission with Multiple Data Sets","","","Submit form with Fenny Benny",""
"passed","Wed Mar 27 15:20:41 CDT 2024","Wed Mar 27 15:21:03 CDT 2024","21232","firefox","Contexts/window-switch.spec.js","","","","Switch window with method",""
"passed","Wed Mar 27 15:19:33 CDT 2024","Wed Mar 27 15:19:38 CDT 2024","4518","webkit","intro/POM/FormTestDDT.spec.js","Form submission with Multiple Data Sets","","","Submit form with Jenny Kenny",""
"passed","Wed Mar 27 15:19:33 CDT 2024","Wed Mar 27 15:19:38 CDT 2024","4538","webkit","intro/POM/FormTestDDT.spec.js","Form submission with Multiple Data Sets","","","Submit form with Fenny Benny",""
"passed","Wed Mar 27 15:19:33 CDT 2024","Wed Mar 27 15:19:37 CDT 2024","4389","webkit","intro/POM/FormTestDDT.spec.js","Form submission with Multiple Data Sets","","","Submit form with Lenny Denny",""
"passed","Wed Mar 27 15:20:41 CDT 2024","Wed Mar 27 15:20:56 CDT 2024","15131","chromium","Contexts/window-switch.spec.js","","","","Switch window with method",""
"passed","Wed Mar 27 15:20:56 CDT 2024","Wed Mar 27 15:21:10 CDT 2024","13575","webkit","Contexts/window-switch.spec.js","","","","Switch window with method",""
